ticket_id,title,description,opened_at,closed_at,priority,status,requester_department,requester_location,affected_service,asset_id,assigned_team,assignee,channel,impact,urgency,resolution_notes
INC-0001,Falha no acesso ao Storage,Ticket para investigação de issue no Storage.,2026-04-08T08:47:00Z,2026-04-09T20:47:00Z,medium,Closed,Operacoes,Sao Paulo,Storage,ASSET-9935,Infra,Analista 01,Email,low,medium,Atualizado configuração e resolvido.
INC-0002,Lentidão no Impressora,Usuário reporta que Impressora está com problemas desde o início do dia.,2026-04-02T16:12:00Z,2026-04-05T14:12:00Z,medium,Closed,RH,Centro de Distribuicao A,Impressora,ASSET-1106,Suporte TI,Analista 03,Chat,medium,medium,Reconfigurado usuário e verificado.
INC-0003,Problema com DNS,Usuário reporta que DNS está com problemas desde o início do dia.,2026-04-06T14:06:00Z,2026-04-08T12:06:00Z,high,Closed,Atendimento,Sao Paulo,DNS,ASSET-3045,DBA,,Chat,high,medium,Aplicado patch e testado com sucesso.
INC-0004,Falha no acesso ao Storage,Recebemos alerta de falha no Storage.,2026-04-15T12:05:00Z,2026-04-16T18:05:00Z,critical,Closed,Comercial,Remoto,Storage,ASSET-3664,Network,Analista 03,Email,medium,medium,Reiniciado serviço e restaurado acesso.
INC-0005,MFA não funcionando,Recebemos alerta de falha no MFA.,2026-04-25T12:59:00Z,2026-04-28T12:59:00Z,high,Closed,Atendimento,Sao Paulo,MFA,ASSET-6168,DBA,Analista 02,Chat,medium,critical,Atualizado configuração e resolvido.
INC-0006,Problema com Backup,Não consigo acessar o Backup da minha máquina.,2026-04-10T12:08:00Z,2026-04-11T20:08:00Z,high,Closed,Logistica,Centro de Distribuicao A,Backup,ASSET-7543,Network,Analista 02,Telefone,low,low,Substituído componente defeituoso.
INC-0007,Problema com Rede,O Rede está lento e impactando o trabalho da equipe.,2026-04-11T18:27:00Z,2026-04-12T03:27:00Z,critical,Closed,TI,Remoto,Rede,,Helpdesk,Analista 01,Email,high,high,Reconfigurado usuário e verificado.
INC-0008,Erro no Fila de Processamento,O Fila de Processamento está lento e impactando o trabalho da equipe.,2026-04-28T10:29:00Z,2026-04-28T11:29:00Z,medium,Closed,TI,Sao Paulo,Fila de Processamento,ASSET-9317,Helpdesk,,Chat,medium,low,Aplicado patch e testado com sucesso.
INC-0009,Erro no Servidor,Não consigo acessar o Servidor da minha máquina.,2026-05-02T08:07:00Z,2026-05-04T07:07:00Z,medium,Closed,Financeiro,Curitiba,Servidor,ASSET-2290,Infra,Analista 01,Portal,medium,critical,Aplicado patch e testado com sucesso.
INC-0010,Problema com Backup,O Backup está lento e impactando o trabalho da equipe.,2026-04-17T16:55:00Z,2026-04-19T23:55:00Z,medium,Closed,Logistica,Recife,Backup,ASSET-7118,DBA,Analista 04,Email,medium,medium,Atualizado configuração e resolvido.
INC-0011,DNS não funcionando,Não consigo acessar o DNS da minha máquina.,2026-04-02T17:35:00Z,2026-04-03T23:35:00Z,medium,Closed,Financeiro,Sao Paulo,DNS,ASSET-4750,Infra,Analista 03,Email,medium,high,Substituído componente defeituoso.
INC-0012,Problema com MFA,Recebemos alerta de falha no MFA.,2026-05-05T10:46:00Z,2026-05-07T23:46:00Z,critical,Closed,Atendimento,Remoto,MFA,,DBA,Analista 04,Telefone,low,low,Atualizado configuração e resolvido.
INC-0013,Erro no Active Directory,Usuário reporta que Active Directory está com problemas desde o início do dia.,2026-04-22T09:15:00Z,2026-04-23T10:15:00Z,critical,Closed,Operacoes,Remoto,Active Directory,,Suporte TI,Analista 01,Telefone,low,low,Atualizado configuração e resolvido.
INC-0014,Lentidão no Servidor,Recebemos alerta de falha no Servidor.,2026-04-06T11:10:00Z,2026-04-08T16:10:00Z,critical,Closed,Operacoes,Remoto,Servidor,,DBA,,Telefone,high,critical,Reconfigurado usuário e verificado.
INC-0015,Problema com VPN,Ticket para investigação de issue no VPN.,2026-05-06T18:45:00Z,2026-05-09T09:45:00Z,medium,Closed,Comercial,Curitiba,VPN,ASSET-9883,Infra,Analista 01,Email,critical,medium,Atualizado configuração e resolvido.
INC-0016,Lentidão no MFA,Não consigo acessar o MFA da minha máquina.,2026-04-06T10:04:00Z,2026-04-06T19:04:00Z,critical,Closed,Financeiro,Centro de Distribuicao A,MFA,ASSET-1651,Helpdesk,,Chat,high,medium,Atualizado configuração e resolvido.
INC-0017,Problema com VPN,Não consigo acessar o VPN da minha máquina.,2026-04-17T14:08:00Z,2026-04-19T05:08:00Z,high,Closed,Atendimento,Sao Paulo,VPN,ASSET-2638,Infra,Analista 05,Chat,medium,high,Reconfigurado usuário e verificado.
INC-0018,Erro no VPN,Não consigo acessar o VPN da minha máquina.,2026-04-24T12:10:00Z,2026-04-26T21:10:00Z,high,Closed,TI,Centro de Distribuicao A,VPN,ASSET-5905,Infra,Analista 02,Chat,low,low,Substituído componente defeituoso.
INC-0019,Falha no acesso ao Rede,O Rede está lento e impactando o trabalho da equipe.,2026-04-18T12:38:00Z,2026-04-19T15:38:00Z,medium,Closed,Logistica,Recife,Rede,ASSET-1832,Infra,Analista 03,Email,low,high,Aplicado patch e testado com sucesso.
INC-0020,Falha no acesso ao Servidor,Usuário reporta que Servidor está com problemas desde o início do dia.,2026-04-11T15:35:00Z,2026-04-13T22:35:00Z,low,Closed,Financeiro,Sao Paulo,Servidor,ASSET-3442,Helpdesk,,Chat,medium,critical,Substituído componente defeituoso.
INC-0021,Falha no acesso ao Storage,Recebemos alerta de falha no Storage.,2026-04-20T13:57:00Z,2026-04-20T19:57:00Z,medium,Closed,Logistica,Curitiba,Storage,,Helpdesk,Analista 04,Portal,medium,medium,Aplicado patch e testado com sucesso.
INC-0022,Lentidão no Certificado,Não consigo acessar o Certificado da minha máquina.,2026-04-02T10:47:00Z,2026-04-04T05:47:00Z,medium,Closed,Comercial,Curitiba,Certificado,ASSET-7267,Infra,Analista 02,Portal,critical,high,Reconfigurado usuário e verificado.
INC-0023,Lentidão no Certificado,Não consigo acessar o Certificado da minha máquina.,2026-04-15T08:42:00Z,2026-04-16T09:42:00Z,high,Closed,Comercial,Sao Paulo,Certificado,,Helpdesk,Analista 05,Chat,low,low,Reconfigurado usuário e verificado.
INC-0024,Erro no Rede,Ticket para investigação de issue no Rede.,2026-04-17T08:06:00Z,2026-04-19T16:06:00Z,high,Closed,RH,Centro de Distribuicao A,Rede,,Helpdesk,,Email,critical,low,Aplicado patch e testado com sucesso.
INC-0025,Falha no acesso ao DNS,Recebemos alerta de falha no DNS.,2026-04-13T13:27:00Z,2026-04-13T22:27:00Z,high,Closed,Logistica,Sao Paulo,DNS,ASSET-9308,Network,Analista 03,Telefone,high,medium,Aplicado patch e testado com sucesso.
INC-0026,Fila de Processamento não funcionando,Não consigo acessar o Fila de Processamento da minha máquina.,2026-04-25T18:47:00Z,2026-04-26T17:47:00Z,high,Closed,RH,Centro de Distribuicao A,Fila de Processamento,,Network,Analista 05,Chat,critical,critical,Substituído componente defeituoso.
INC-0027,Problema com Banco de Dados,Não consigo acessar o Banco de Dados da minha máquina.,2026-05-03T15:50:00Z,2026-05-04T13:50:00Z,high,Closed,TI,Centro de Distribuicao A,Banco de Dados,,Suporte TI,Analista 02,Portal,medium,low,Reiniciado serviço e restaurado acesso.
INC-0028,Falha no acesso ao MFA,Não consigo acessar o MFA da minha máquina.,2026-05-01T17:54:00Z,2026-05-02T03:54:00Z,critical,Closed,Logistica,Centro de Distribuicao A,MFA,ASSET-7291,DBA,Analista 02,Email,low,critical,Reconfigurado usuário e verificado.
INC-0029,Certificado não funcionando,Recebemos alerta de falha no Certificado.,2026-05-04T15:03:00Z,2026-05-07T15:03:00Z,low,Closed,RH,Curitiba,Certificado,ASSET-9702,Helpdesk,Analista 04,Telefone,critical,medium,Atualizado configuração e resolvido.
INC-0030,Falha no acesso ao Impressora,Recebemos alerta de falha no Impressora.,2026-04-17T11:53:00Z,2026-04-18T23:53:00Z,critical,Closed,Logistica,Curitiba,Impressora,ASSET-5681,Suporte TI,Analista 03,Email,medium,medium,Substituído componente defeituoso.
INC-0031,Problema com Backup,O Backup está lento e impactando o trabalho da equipe.,2026-04-10T11:04:00Z,2026-04-12T17:04:00Z,high,Closed,TI,Remoto,Backup,,DBA,Analista 05,Email,critical,critical,Reconfigurado usuário e verificado.
INC-0032,Erro no Impressora,Ticket para investigação de issue no Impressora.,2026-04-20T14:54:00Z,2026-04-22T20:54:00Z,medium,Closed,RH,Curitiba,Impressora,ASSET-1475,DBA,Analista 04,Portal,critical,medium,Substituído componente defeituoso.
INC-0033,Lentidão no Active Directory,Recebemos alerta de falha no Active Directory.,2026-04-02T14:37:00Z,2026-04-02T18:37:00Z,critical,Closed,Operacoes,Remoto,Active Directory,,DBA,Analista 04,Chat,high,critical,Reiniciado serviço e restaurado acesso.
INC-0034,Falha no acesso ao Storage,Não consigo acessar o Storage da minha máquina.,2026-04-17T09:30:00Z,2026-04-17T12:30:00Z,low,Closed,Comercial,Curitiba,Storage,,Infra,Analista 02,Portal,low,medium,Substituído componente defeituoso.
INC-0035,Active Directory não funcionando,Não consigo acessar o Active Directory da minha máquina.,2026-05-01T18:07:00Z,2026-05-02T22:07:00Z,high,Closed,Atendimento,Recife,Active Directory,ASSET-2876,Suporte TI,Analista 01,Email,high,critical,Reconfigurado usuário e verificado.
INC-0036,Erro no Certificado,O Certificado está lento e impactando o trabalho da equipe.,2026-04-05T17:44:00Z,2026-04-07T01:44:00Z,high,Closed,Atendimento,Centro de Distribuicao A,Certificado,,Helpdesk,Analista 03,Telefone,high,low,Reiniciado serviço e restaurado acesso.
INC-0037,Erro no DNS,O DNS está lento e impactando o trabalho da equipe.,2026-04-01T14:52:00Z,2026-04-04T05:52:00Z,critical,Closed,Comercial,Remoto,DNS,,Suporte TI,Analista 03,Telefone,critical,critical,Reiniciado serviço e restaurado acesso.
INC-0038,Falha no acesso ao Acesso a Sistema,O Acesso a Sistema está lento e impactando o trabalho da equipe.,2026-04-21T11:53:00Z,2026-04-21T23:53:00Z,critical,Closed,Operacoes,Remoto,Acesso a Sistema,ASSET-7209,Network,,Chat,medium,critical,Aplicado patch e testado com sucesso.
INC-0039,Problema com Wi-Fi,Usuário reporta que Wi-Fi está com problemas desde o início do dia.,2026-04-17T13:17:00Z,2026-04-19T01:17:00Z,low,Closed,TI,Curitiba,Wi-Fi,,DBA,Analista 02,Telefone,critical,critical,Substituído componente defeituoso.
INC-0040,Problema com Rede,Não consigo acessar o Rede da minha máquina.,2026-04-19T11:25:00Z,2026-04-20T19:25:00Z,high,Closed,RH,Centro de Distribuicao A,Rede,ASSET-6419,Network,Analista 03,Chat,high,medium,Aplicado patch e testado com sucesso.
INC-0041,Lentidão no Impressora,Não consigo acessar o Impressora da minha máquina.,2026-04-21T09:47:00Z,2026-04-24T06:47:00Z,medium,Closed,Operacoes,Remoto,Impressora,ASSET-9595,Helpdesk,Analista 01,Portal,high,medium,Atualizado configuração e resolvido.
INC-0042,Rede não funcionando,Recebemos alerta de falha no Rede.,2026-04-20T08:45:00Z,2026-04-23T05:45:00Z,high,Closed,Financeiro,Sao Paulo,Rede,,Suporte TI,Analista 04,Email,low,high,Atualizado configuração e resolvido.
INC-0043,Problema com Backup,Ticket para investigação de issue no Backup.,2026-04-29T13:11:00Z,2026-04-29T20:11:00Z,critical,Closed,Financeiro,Sao Paulo,Backup,ASSET-1878,Suporte TI,,Chat,low,medium,Aplicado patch e testado com sucesso.
INC-0044,Lentidão no Impressora,Usuário reporta que Impressora está com problemas desde o início do dia.,2026-04-27T17:38:00Z,2026-04-28T22:38:00Z,critical,Closed,RH,Remoto,Impressora,ASSET-8025,Network,Analista 01,Email,medium,medium,Substituído componente defeituoso.
INC-0045,Problema com Monitoramento,Não consigo acessar o Monitoramento da minha máquina.,2026-04-11T11:11:00Z,2026-04-14T10:11:00Z,medium,Closed,Financeiro,Remoto,Monitoramento,ASSET-8699,Network,,Chat,high,critical,Reiniciado serviço e restaurado acesso.
INC-0046,Erro no Storage,Ticket para investigação de issue no Storage.,2026-04-17T18:37:00Z,2026-04-18T20:37:00Z,low,Closed,TI,Curitiba,Storage,,Network,Analista 01,Email,medium,high,Reconfigurado usuário e verificado.
INC-0047,Problema com Rede,Usuário reporta que Rede está com problemas desde o início do dia.,2026-04-19T15:07:00Z,2026-04-22T03:07:00Z,critical,Closed,Comercial,Centro de Distribuicao A,Rede,ASSET-2317,Helpdesk,,Telefone,high,high,Aplicado patch e testado com sucesso.
INC-0048,Monitoramento não funcionando,O Monitoramento está lento e impactando o trabalho da equipe.,2026-04-15T18:53:00Z,2026-04-15T21:53:00Z,low,Closed,Atendimento,Curitiba,Monitoramento,ASSET-8245,Network,,Telefone,critical,low,Aplicado patch e testado com sucesso.
INC-0049,Lentidão no Impressora,Usuário reporta que Impressora está com problemas desde o início do dia.,2026-04-27T13:20:00Z,2026-04-28T03:20:00Z,high,Closed,RH,Remoto,Impressora,ASSET-7561,Helpdesk,,Email,high,high,Atualizado configuração e resolvido.
INC-0050,MFA não funcionando,Recebemos alerta de falha no MFA.,2026-04-26T16:52:00Z,2026-04-26T17:52:00Z,critical,Closed,RH,Sao Paulo,MFA,ASSET-9167,DBA,Analista 02,Chat,medium,high,Substituído componente defeituoso.
INC-0051,Erro no Rede,O Rede está lento e impactando o trabalho da equipe.,2026-04-08T08:40:00Z,2026-04-09T15:40:00Z,high,Closed,TI,Sao Paulo,Rede,ASSET-4681,Infra,Analista 01,Portal,critical,high,Atualizado configuração e resolvido.
INC-0052,Lentidão no Servidor,O Servidor está lento e impactando o trabalho da equipe.,2026-04-27T15:30:00Z,2026-04-28T23:30:00Z,medium,Closed,RH,Curitiba,Servidor,ASSET-3236,Infra,Analista 04,Chat,high,low,Reconfigurado usuário e verificado.
INC-0053,Problema com Certificado,O Certificado está lento e impactando o trabalho da equipe.,2026-05-02T10:28:00Z,2026-05-05T07:28:00Z,high,Closed,Comercial,Centro de Distribuicao A,Certificado,ASSET-8460,Network,Analista 02,Telefone,medium,critical,Reconfigurado usuário e verificado.
INC-0054,Acesso a Sistema não funcionando,Não consigo acessar o Acesso a Sistema da minha máquina.,2026-05-01T14:24:00Z,2026-05-02T10:24:00Z,low,Closed,Operacoes,Centro de Distribuicao A,Acesso a Sistema,ASSET-2644,DBA,,Telefone,low,medium,Reconfigurado usuário e verificado.
INC-0055,Lentidão no Fila de Processamento,Não consigo acessar o Fila de Processamento da minha máquina.,2026-04-05T15:50:00Z,2026-04-07T01:50:00Z,critical,Closed,Logistica,Sao Paulo,Fila de Processamento,ASSET-9742,DBA,Analista 04,Email,low,medium,Aplicado patch e testado com sucesso.
INC-0056,Falha no acesso ao Servidor,Não consigo acessar o Servidor da minha máquina.,2026-04-06T14:06:00Z,2026-04-07T03:06:00Z,medium,Closed,Logistica,Recife,Servidor,,Network,Analista 03,Chat,high,critical,Reconfigurado usuário e verificado.
INC-0057,Fila de Processamento não funcionando,O Fila de Processamento está lento e impactando o trabalho da equipe.,2026-05-04T14:36:00Z,2026-05-05T14:36:00Z,medium,Closed,Financeiro,Centro de Distribuicao A,Fila de Processamento,ASSET-4945,DBA,Analista 02,Portal,critical,high,Atualizado configuração e resolvido.
INC-0058,Banco de Dados não funcionando,Usuário reporta que Banco de Dados está com problemas desde o início do dia.,2026-04-01T15:57:00Z,2026-04-03T04:57:00Z,medium,Closed,Financeiro,Remoto,Banco de Dados,ASSET-5901,DBA,Analista 04,Chat,medium,critical,Substituído componente defeituoso.
INC-0059,Falha no acesso ao VPN,Ticket para investigação de issue no VPN.,2026-04-16T14:36:00Z,2026-04-18T12:36:00Z,high,Closed,Logistica,Recife,VPN,ASSET-7484,Network,,Email,critical,high,Substituído componente defeituoso.
INC-0060,Problema com Storage,O Storage está lento e impactando o trabalho da equipe.,2026-04-23T11:40:00Z,2026-04-24T12:40:00Z,high,Closed,Logistica,Curitiba,Storage,,Infra,Analista 04,Email,high,medium,Substituído componente defeituoso.
INC-0061,Servidor não funcionando,Usuário reporta que Servidor está com problemas desde o início do dia.,2026-04-21T14:11:00Z,2026-04-22T16:11:00Z,high,Closed,TI,Centro de Distribuicao A,Servidor,,Suporte TI,Analista 04,Chat,high,low,Atualizado configuração e resolvido.
INC-0062,Falha no acesso ao VPN,Recebemos alerta de falha no VPN.,2026-04-10T11:55:00Z,2026-04-12T14:55:00Z,high,Closed,Financeiro,Remoto,VPN,,Infra,Analista 03,Telefone,high,low,Substituído componente defeituoso.
INC-0063,Storage não funcionando,Usuário reporta que Storage está com problemas desde o início do dia.,2026-04-02T17:56:00Z,2026-04-05T17:56:00Z,medium,Closed,Logistica,Sao Paulo,Storage,ASSET-5951,DBA,,Email,low,high,Aplicado patch e testado com sucesso.
INC-0064,Erro no Storage,Recebemos alerta de falha no Storage.,2026-04-07T11:56:00Z,2026-04-10T08:56:00Z,critical,Closed,RH,Recife,Storage,ASSET-9850,DBA,Analista 02,Telefone,low,critical,Atualizado configuração e resolvido.
INC-0065,Falha no acesso ao Fila de Processamento,Usuário reporta que Fila de Processamento está com problemas desde o início do dia.,2026-04-18T08:44:00Z,2026-04-20T08:44:00Z,critical,Closed,RH,Curitiba,Fila de Processamento,ASSET-7018,Helpdesk,Analista 03,Email,critical,high,Atualizado configuração e resolvido.
INC-0066,Erro no VPN,Não consigo acessar o VPN da minha máquina.,2026-04-30T09:42:00Z,,medium,Open,Logistica,Centro de Distribuicao A,VPN,,Network,Analista 02,Portal,low,medium,
INC-0067,Problema com VPN,Não consigo acessar o VPN da minha máquina.,2026-04-15T13:49:00Z,,medium,Open,Atendimento,Centro de Distribuicao A,VPN,,Suporte TI,Analista 05,Chat,medium,low,
INC-0068,VPN não funcionando,Recebemos alerta de falha no VPN.,2026-04-01T13:50:00Z,,medium,Open,TI,Recife,VPN,,Infra,,Telefone,low,low,
INC-0069,MFA não funcionando,Usuário reporta que MFA está com problemas desde o início do dia.,2026-04-24T16:37:00Z,,low,Open,RH,Centro de Distribuicao A,MFA,ASSET-1710,Helpdesk,Analista 01,Email,critical,critical,
INC-0070,Active Directory não funcionando,Ticket para investigação de issue no Active Directory.,2026-05-02T15:04:00Z,,low,Open,Comercial,Centro de Distribuicao A,Active Directory,,Network,Analista 05,Chat,critical,high,
INC-0071,DNS não funcionando,Usuário reporta que DNS está com problemas desde o início do dia.,2026-04-28T09:50:00Z,,low,Open,Atendimento,Centro de Distribuicao A,DNS,ASSET-8046,DBA,Analista 04,Chat,critical,critical,
INC-0072,Falha no acesso ao Storage,Ticket para investigação de issue no Storage.,2026-04-21T14:20:00Z,,high,Open,Comercial,Curitiba,Storage,ASSET-2099,Infra,Analista 01,Telefone,low,high,
INC-0073,Erro no Backup,Ticket para investigação de issue no Backup.,2026-04-04T17:35:00Z,,high,Open,Logistica,Sao Paulo,Backup,ASSET-7929,Infra,Analista 05,Chat,high,low,
INC-0074,Erro no Banco de Dados,O Banco de Dados está lento e impactando o trabalho da equipe.,2026-04-14T10:42:00Z,,critical,Open,Operacoes,Sao Paulo,Banco de Dados,ASSET-7022,Infra,Analista 05,Portal,critical,low,
INC-0075,Problema com VPN,Ticket para investigação de issue no VPN.,2026-04-02T10:17:00Z,,high,Open,Comercial,Recife,VPN,,Suporte TI,Analista 04,Email,medium,low,
INC-0076,Problema com Banco de Dados,O Banco de Dados está lento e impactando o trabalho da equipe.,2026-04-14T14:26:00Z,,critical,Open,Comercial,Curitiba,Banco de Dados,ASSET-6314,Helpdesk,Analista 01,Portal,medium,low,
INC-0077,Erro no Backup,Recebemos alerta de falha no Backup.,2026-04-29T18:27:00Z,,critical,Open,TI,Remoto,Backup,,Helpdesk,,Telefone,low,high,
INC-0078,Lentidão no Acesso a Sistema,Usuário reporta que Acesso a Sistema está com problemas desde o início do dia.,2026-05-04T18:19:00Z,,low,Open,Operacoes,Remoto,Acesso a Sistema,,Suporte TI,Analista 02,Portal,high,high,
INC-0079,Backup não funcionando,Usuário reporta que Backup está com problemas desde o início do dia.,2026-04-01T15:47:00Z,,critical,Open,Operacoes,Curitiba,Backup,ASSET-4770,Helpdesk,Analista 03,Email,critical,low,
INC-0080,Erro no Acesso a Sistema,Recebemos alerta de falha no Acesso a Sistema.,2026-04-30T09:55:00Z,,high,Open,TI,Remoto,Acesso a Sistema,ASSET-7843,Network,,Email,high,medium,
INC-0081,Problema com Acesso a Sistema,Ticket para investigação de issue no Acesso a Sistema.,2026-04-24T09:27:00Z,,low,Open,Operacoes,Remoto,Acesso a Sistema,ASSET-2288,DBA,Analista 03,Portal,high,medium,
INC-0082,Erro no Banco de Dados,Não consigo acessar o Banco de Dados da minha máquina.,2026-04-08T16:32:00Z,,medium,Open,Atendimento,Recife,Banco de Dados,ASSET-3419,Suporte TI,,Chat,medium,medium,
INC-0083,Lentidão no Certificado,O Certificado está lento e impactando o trabalho da equipe.,2026-04-05T10:49:00Z,,critical,Open,RH,Centro de Distribuicao A,Certificado,ASSET-6295,Network,,Email,critical,critical,
INC-0084,Erro no Monitoramento,Ticket para investigação de issue no Monitoramento.,2026-04-04T13:32:00Z,,low,Open,Comercial,Remoto,Monitoramento,,Network,Analista 01,Email,critical,critical,
INC-0085,Problema com Monitoramento,Não consigo acessar o Monitoramento da minha máquina.,2026-04-03T15:58:00Z,,medium,Open,Comercial,Centro de Distribuicao A,Monitoramento,ASSET-2013,DBA,,Chat,low,medium,
INC-0086,Lentidão no Servidor,Usuário reporta que Servidor está com problemas desde o início do dia.,2026-04-29T15:33:00Z,,medium,Open,Comercial,Recife,Servidor,,DBA,Analista 05,Email,high,low,
INC-0087,Falha no acesso ao Fila de Processamento,Ticket para investigação de issue no Fila de Processamento.,2026-05-06T18:24:00Z,,high,Open,Comercial,Centro de Distribuicao A,Fila de Processamento,,Infra,Analista 02,Chat,high,critical,
INC-0088,Lentidão no Fila de Processamento,O Fila de Processamento está lento e impactando o trabalho da equipe.,2026-04-06T12:35:00Z,,critical,Open,Logistica,Recife,Fila de Processamento,,Helpdesk,,Telefone,high,low,
INC-0089,Erro no Active Directory,Recebemos alerta de falha no Active Directory.,2026-04-12T11:21:00Z,,critical,Open,Operacoes,Curitiba,Active Directory,,Network,Analista 01,Email,high,medium,
INC-0090,VPN não funcionando,Não consigo acessar o VPN da minha máquina.,2026-04-10T10:11:00Z,,medium,Open,Logistica,Remoto,VPN,ASSET-4891,DBA,Analista 04,Portal,medium,high,
INC-0091,Certificado não funcionando,O Certificado está lento e impactando o trabalho da equipe.,2026-04-24T18:36:00Z,,critical,Open,RH,Recife,Certificado,ASSET-9641,DBA,Analista 02,Portal,high,low,
INC-0092,Certificado não funcionando,O Certificado está lento e impactando o trabalho da equipe.,2026-05-06T09:45:00Z,,low,Open,Comercial,Sao Paulo,Certificado,,DBA,Analista 02,Telefone,low,medium,
INC-0093,Falha no acesso ao MFA,Usuário reporta que MFA está com problemas desde o início do dia.,2026-04-02T14:03:00Z,,critical,Open,TI,Recife,MFA,ASSET-2337,Network,Analista 03,Email,high,medium,
INC-0094,Falha no acesso ao Monitoramento,O Monitoramento está lento e impactando o trabalho da equipe.,2026-04-19T15:44:00Z,,medium,Open,Atendimento,Remoto,Monitoramento,ASSET-2298,Infra,Analista 02,Telefone,low,high,
INC-0095,Monitoramento não funcionando,Usuário reporta que Monitoramento está com problemas desde o início do dia.,2026-04-08T08:15:00Z,,critical,Open,Logistica,Centro de Distribuicao A,Monitoramento,,DBA,Analista 01,Portal,medium,high,
INC-0096,Problema com Rede,Recebemos alerta de falha no Rede.,2026-04-23T11:36:00Z,,critical,Open,Operacoes,Sao Paulo,Rede,ASSET-2108,Helpdesk,Analista 05,Email,critical,critical,
INC-0097,Erro no Banco de Dados,O Banco de Dados está lento e impactando o trabalho da equipe.,2026-04-24T12:47:00Z,,low,Open,Comercial,Sao Paulo,Banco de Dados,,Infra,Analista 03,Portal,low,high,
INC-0098,Problema com Certificado,O Certificado está lento e impactando o trabalho da equipe.,2026-04-12T18:29:00Z,,critical,Open,Logistica,Curitiba,Certificado,,DBA,,Portal,low,medium,
INC-0099,Lentidão no Certificado,Recebemos alerta de falha no Certificado.,2026-04-20T16:25:00Z,,critical,Open,Comercial,Sao Paulo,Certificado,ASSET-5687,Network,Analista 01,Chat,high,low,
INC-0100,Erro no Monitoramento,Não consigo acessar o Monitoramento da minha máquina.,2026-04-26T15:57:00Z,,critical,Open,Comercial,Curitiba,Monitoramento,ASSET-7018,Helpdesk,Analista 01,Telefone,low,critical,